종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"476260","HANARO 반도체핵심공정주도주","9370","-60","-0.64","9343.96","9240","9415","9175","98500","910069740","11244000000","11212753116","1200000","FnGuide 반도체 핵심공정 지수","1284.69","-17.46","-1.34"
"434730","HANARO 원자력iSelect","56175","-75","-0.13","56157.10","56285","57095","55660","1021045","57258667076","556132500000","553147427868","9900000","iSelect 원자력지수 (시장가격)","5224.07","2.75","0.05"
"0082F0","HANARO 유럽방산","12200","-315","-2.52","12218.46","12325","12325","12145","12885","157013895","10980000000","10996617109","900000","Stoxx 유럽 방산 지수","595.50","-1.98","-0.33"
"491820","HANARO 전력설비투자","31875","75","0.24","31842.80","32105","32910","31480","250260","8013442909","86062500000","85975547143","2700000","iSelect 전력설비투자 지수","8303.48","-3.95","-0.05"
"461500","HANARO 종합채권(AA-이상)액티브","108715","-465","-0.43","108758.29","109340","109370","108715","136","14819040","86972000000","87006632438","800000","KAP 종합채권 총수익지수(AA-이상)","118.48","-0.41","-0.34"
"0111J0","HANARO 증권고배당TOP3플러스","11350","285","2.58","11368.41","11080","11520","11080","243335","2751363932","38590000000","38652593655","3400000","FnGuide 증권 고배당 TOP3 플러스 지수","4252.12","110.19","2.66"
"495750","HANARO 코리아밸류업","20450","410","2.05","20406.35","20085","20450","20040","589","11900115","43967500000","43873650753","2150000","코리아 밸류업 지수","2076.32","28.18","1.38"
"304770","HANARO 코스닥150","15750","130","0.83","15849.94","15620","15750","15595","5583","87513795","17640000000","17751937869","1120000","코스닥 150","1588.79","12.59","0.80"
"306530","HANARO 코스닥150선물레버리지","12030","190","1.60","12018.01","11740","12030","11735","611","7287530","4090200000","4086123146","340000","F-코스닥150 지수","1836.13","17.36","0.95"
"375760","HANARO 탄소효율그린뉴딜","16325","370","2.32","16282.80","16020","16325","15945","763","12282980","14692500000","14654518688","900000","KRX/S&P 탄소효율 그린뉴딜지수","2762.89","42.96","1.58"
"491700","HK 200","69675","515","0.74","70580.77","69160","69675","69105","125","8709365","66191250000","67051727390","950000","코스피 200","696.39","10.63","1.55"
"0000Y0","HK 26-12 회사채(AA-이상)액티브","100235","10","0.01","100210.05","0","0","0","0","0","120783175000","120753114751","1205000","KAP 26-12 크레딧 채권 총수익지수(AA-이상)","108.42","-0.01","-0.01"
"215620","HK S&P코리아로우볼","16375","160","0.99","16399.82","16375","16375","16375","1","16375","10316250000","10331889375","630000","S&P Korea 저변동성 지수","12385.54","31.68","0.26"
"0113P0","HK 머니마켓액티브","100620","20","0.02","100595.41","0","0","0","0","0","52121160000","52108421342","518000","KAP 머니마켓 지수(총수익)","115.16","0.01","0.01"
"391670","HK 베스트일레븐액티브","18785","570","3.13","18735.23","18340","18785","18340","822","15184850","17845750000","17798471904","950000","코스피 200","696.39","10.63","1.55"
"472920","HK 종합채권(AA-이상)액티브","101595","-465","-0.46","101662.12","102030","102030","101595","107","10879775","187849155000","189599848015","1849000","KAP 종합채권 AA- 이상 지수(총수익)","118.33","-0.41","-0.35"
"472840","ITF 200","69815","1045","1.52","69837.76","68770","69815","68630","1418","97836910","19199125000","19205383196","275000","코스피 200","696.39","10.63","1.55"
"0005G0","ITF K-AI반도체코어테크","23375","310","1.34","23524.40","23085","23440","22990","16714","388574854","25712500000","25876837784","1100000","FnGuide K-AI반도체 코어테크 지수","4915.27","66.60","1.37"
